OBJECTID;codigo_geo;pob_pad19;municipio_;cod_mund;Shape_Length;Shape_Area
189;0199;1664;Belmonte de Tajo;199;24687,007280979651114;24068211,088848881423473
190;1548;7779;Torres de la Alameda;1548;32374,589268697374791;43332083,732915461063385
191;1436;86;Somosierra;1436;22555,141913652438234;20396121,071677792817354
192;0105;14575;Alpedrete;105;16373,637838685079259;12660879,947821998968720
193;1028;1244;Orusco de Tajuña;1028;19582,369451454549562;21361799,373866219073534
194;0698;57;La Hiruela;698;21342,628853117712424;17157577,510331261903048
195;0395;150;Cervera de Buitrago;395;18824,919439210931159;11539298,544778173789382
196;0650;183374;Getafe;650;48109,125044322972826;78580566,739908248186111
197;1224;783;Ribatejada;1224;37286,176571041389252;32160070,009258959442377
198;1701;3388;Villaconejos;1701;22903,199712841858855;33266294,340705357491970
199;1646;4497;Valdetorres de Jarama;1646;29852,724521555668616;35074814,940398283302784
